id,occurred_at,trace_id,thread_id,path,phase,failure_kind,confidence_before,confidence_after,risk_snapshot,surface_key,related_payload
15,2026-01-25 17:49:34.206344+09,01d934a3-4266-4c1e-858d-ab84a0a95612,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
16,2026-01-25 18:01:41.233833+09,daba62bb-962c-4633-a17b-266d78b07ca5,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
17,2026-01-25 18:27:24.320022+09,265f7759-0acd-46d8-9154-adc698e6366b,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
18,2026-01-25 18:36:17.468413+09,3f2c405e-11ff-432f-94df-8b32a080069b,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
19,2026-01-25 18:42:56.776259+09,f8f16d55-614e-4e2c-94f3-b03ea239570a,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
20,2026-01-25 18:45:27.747045+09,17642ebc-ec3f-4d67-946c-58d496be24f9,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
21,2026-01-25 18:58:23.193437+09,7b1c4000-ec13-4b3b-990c-98e8d6a52cb7,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
22,2026-01-25 19:05:28.311043+09,2a0c7dbd-aaec-4e11-9304-b94528f7e6a8,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error:   File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
23,2026-01-25 19:11:32.435251+09,b15d8766-a01e-4473-a7de-ae9ea07fa902,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
24,2026-01-25 19:14:02.172002+09,e4ea62bc-c2d8-48c2-a470-14c7de529a48,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
25,2026-01-25 19:22:27.081849+09,77ca5003-116c-42fc-a156-bdd99d3f216b,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 38\n    print(\nIndentationError: unexpected indent\n""}"
26,2026-01-25 19:30:16.585647+09,47c144fd-dff8-46c7-9a41-9d8d57296cce,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
27,2026-01-25 19:30:39.782905+09,002868b5-16d7-43a7-accc-00b5e22c3212,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
28,2026-01-25 19:31:55.180884+09,1a2bcbc1-ee26-49ab-be0b-6ceb481befd4,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
29,2026-01-25 19:40:40.51347+09,91abc722-3d14-4f5e-a7a0-6fd903c75e62,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
30,2026-01-25 19:49:07.017319+09,14c7620e-2745-4d72-8583-ccfd3208a579,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
31,2026-01-25 19:53:38.821509+09,bc4fb3e7-fbc5-40c0-b849-a9857db5b1b8,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
32,2026-01-25 20:03:55.191318+09,7003c8d3-5f81-4006-b84d-e8224b6f2346,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
33,2026-01-25 20:14:10.40093+09,f0ed6049-3e8d-4427-9db4-a8cdd3729146,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
34,2026-01-25 20:24:48.433676+09,b204174e-b13f-43c6-a747-94672fd389bf,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    from solver.dispatcher import dispatch\nModuleNotFoundError: No module named 'solver'\n""}"
35,2026-01-25 22:25:41.495895+09,c9adec16-c3c3-4b1c-aebf-a71a2550ca7c,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
36,2026-01-25 22:26:07.384274+09,f3750768-ff11-4a9b-8f26-78cc476949b2,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
37,2026-01-25 22:39:43.461555+09,685b4666-b85f-46c3-bc25-160cf18a76ef,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
38,2026-01-25 22:41:45.540288+09,e3b24160-02ac-49d7-b1a7-5603fd1d54f6,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
39,2026-01-25 23:02:07.514401+09,fc5f06c4-1c31-450d-8157-8108683fa2f2,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
40,2026-01-25 23:03:02.286938+09,eb6abb9c-4400-49a1-9792-89fa6fc58499,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
41,2026-01-25 23:46:13.108132+09,c1346cdd-8645-40a9-a76e-5981f3949aa1,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
42,2026-01-25 23:50:58.862251+09,8cb1bbb3-ec67-4585-99de-a8f3cc0b7d3d,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
43,2026-01-25 23:54:02.625743+09,712e4886-a57d-4f8d-8291-9d34d720450a,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
44,2026-01-26 00:32:42.912923+09,15d06660-95d7-48f1-9d79-4cef0fdb88a4,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
45,2026-01-26 01:47:00.591861+09,7dc072cc-11b3-4d6c-937b-6b56470565b1,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
46,2026-01-26 02:46:58.635147+09,52209437-deb3-40ac-acb0-72f2a3d2df07,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
47,2026-01-26 05:35:27.071807+09,9238559e-64fa-4d63-8b0b-b39e0f9fd85e,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
48,2026-01-26 05:48:52.439228+09,b36ff188-c4cc-418d-ab1e-911bb23d9b53,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
49,2026-01-26 05:49:59.839113+09,d10d1aa2-5d63-4412-a366-6e93fbd1b5a4,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
50,2026-01-26 05:51:32.007197+09,a81f414f-fc74-4171-a41a-db07d75a901d,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
51,2026-01-26 05:56:41.064083+09,e1a41739-66be-489a-a285-eefb1e49737c,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
52,2026-01-26 06:36:38.799467+09,e8145821-d406-4baa-b2cf-e07c87917967,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
53,2026-01-26 06:45:36.89507+09,798e5079-3182-4a8f-b185-e12fdaad2a4c,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
54,2026-01-26 07:05:30.022983+09,a3081677-c339-49c1-afd4-a51d0787cfff,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
55,2026-01-26 07:35:59.67734+09,11a160fd-1004-490c-84cd-ebebad9a105e,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
56,2026-01-26 09:02:21.938115+09,a0e68bec-f7bc-4f0c-935f-38dae16f91f5,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
57,2026-01-26 09:08:13.328564+09,5b7ab25b-b39f-4515-9516-c8f768e10f53,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
58,2026-01-26 09:12:18.588598+09,ff530e96-26b9-42e5-9e77-fdfbe6c4b037,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
59,2026-01-26 09:44:50.971529+09,9d20e4d9-5cb9-482b-96b6-6ede28d13075,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
60,2026-01-26 09:51:43.966164+09,89de46a4-2ece-48fc-8597-c594ca86605b,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
61,2026-01-26 09:55:21.548585+09,e62e2a47-ec9e-443b-bdd7-86f590e9219f,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
62,2026-01-26 09:57:13.1887+09,f1be1b88-ca52-4b92-9055-ba29cd31e4a4,,PY_SOLVER,tool,TOOL_FAIL,,,,TOOL:PY_SOLVER,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
63,2026-01-26 10:09:12.73834+09,06fc11d0-5449-4922-bc88-f707fdb34901,,MARKET_DATA,tool,TOOL_FAIL,,,,TOOL:MARKET_DATA,"{""error"": ""Error: [PY_SOLVER_JSON_PARSE_FAIL]\nstdout:\n\nstderr:\nTraceback (most recent call last):\n  File \""/home/dmsal020813/src/py/solver/main.py\"", line 8, in <module>\n    import solver.bootstrap  # 반드시 먼저\n    ^^^^^^^^^^^^^^^^^^^^^^^\nModuleNotFoundError: No module named 'solver'\n""}"
