event_id,trace_id,thread_id,occurred_at,actor,phase,payload,latency_ms,token_count,confidence,risk,path,verdict
99102f5d-8678-44c5-9be5-60e1a60f23f4,unknown,,2026-01-15 11:22:07.930975+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
cd1d93f0-37bc-455c-95f1-ec50d3493954,84b80d3d-2ef2-45ec-a03e-9ddca1926f96,754,2026-01-15 11:22:10.3664+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 369}",,,,,,
f0a304b1-8c30-4709-a393-a8a7f5380b76,2d9f78e3-ea51-4771-84b8-19de1fa5c1f7,754,2026-01-15 11:22:29.999657+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 14}",,,,,,
d86064a9-d588-49a8-b492-fc87d9e2fb3c,2d9f78e3-ea51-4771-84b8-19de1fa5c1f7,754,2026-01-15 11:22:30.011508+09,YUA,decision,"{""anchors"": [], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.7,,NORMAL,APPROVE
c1d26566-9888-42b6-94be-9c92139b5907,unknown,,2026-01-15 11:22:30.310727+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
9ac46bcb-622b-46fa-8e00-8b03b88fae24,unknown,,2026-01-15 11:22:35.28656+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
012e6b00-6987-411d-9328-d6e81c043663,2d9f78e3-ea51-4771-84b8-19de1fa5c1f7,754,2026-01-15 11:22:39.069343+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 131}",,,,,,
126f0ed4-bb88-4851-baf1-72a7a5ffaf34,236b5199-aa59-428b-bb4c-593f5d1ec35f,754,2026-01-15 11:43:31.861363+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 2161}",,,,,,
55c843a7-640c-4def-8663-27fed8b7ac23,236b5199-aa59-428b-bb4c-593f5d1ec35f,754,2026-01-15 11:43:32.528738+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,0.6,,NORMAL,APPROVE
87f0047c-63d5-422d-9f62-caaaf4ee154c,unknown,,2026-01-15 11:43:34.428104+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
bbdea91f-8164-49a3-95cb-4679d95954c9,unknown,,2026-01-15 11:43:38.603958+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
d4685f57-56b8-4e88-98fb-7c6c59c5951c,236b5199-aa59-428b-bb4c-593f5d1ec35f,754,2026-01-15 11:43:43.013585+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 515}",,,,,,
0ddadf61-ab9a-4821-90ab-7d4dbe706296,683eb9b3-1b0d-4025-9680-1dd1a8a0d211,754,2026-01-15 11:46:01.525458+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 3323}",,,,,,
9f9c0248-60d8-4933-a4a5-f9027bc96093,683eb9b3-1b0d-4025-9680-1dd1a8a0d211,754,2026-01-15 11:46:01.54559+09,YUA,decision,"{""anchors"": [""VERIFY_LOGIC""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,0.55,,NORMAL,APPROVE
82e3fa50-1423-46d8-8f47-6e9fd0164ff2,unknown,,2026-01-15 11:46:01.848646+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
ed1ca547-f20e-407d-b344-796a2be628f3,unknown,,2026-01-15 11:46:09.338642+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
7d3bdbb3-9603-4298-97f5-59bd10cfb064,683eb9b3-1b0d-4025-9680-1dd1a8a0d211,754,2026-01-15 11:46:11.019554+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 2106}",,,,,,
67fa7075-4887-470e-b479-118d82140e59,0fe72981-739d-4b36-907c-a54a5d938ee1,754,2026-01-15 11:52:05.288233+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 839}",,,,,,
38b86165-0fae-4598-a512-3339372d4110,0fe72981-739d-4b36-907c-a54a5d938ee1,754,2026-01-15 11:52:06.638628+09,YUA,decision,"{""anchors"": [""VERIFY_LOGIC""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,0.55,,NORMAL,APPROVE
9d4dbc58-6143-4d14-a4f6-e9f880dc4cd3,unknown,,2026-01-15 11:52:08.025673+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
5bdffc5c-f10f-4caa-a981-39da707562a2,unknown,,2026-01-15 11:52:13.387039+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
b9724a22-a232-4d63-bc89-8c4db8ff8e23,0fe72981-739d-4b36-907c-a54a5d938ee1,754,2026-01-15 11:52:20.364227+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 649}",,,,,,
020e619f-5956-41a9-9b22-f36fa48bb2aa,21c4bf58-3f15-41f0-995f-6eb0e3d5bd42,754,2026-01-15 11:53:51.420475+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 59}",,,,,,
5b2cc314-a2f0-4802-9cba-4776120cc402,21c4bf58-3f15-41f0-995f-6eb0e3d5bd42,754,2026-01-15 11:53:51.438966+09,YUA,decision,"{""anchors"": [""VERIFY_LOGIC""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.54,,NORMAL,APPROVE
8bb90e7f-d9b7-46a7-96ab-a3d24de99e5a,unknown,,2026-01-15 11:53:51.7227+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
49e4906f-a087-4eaa-a149-fb89f93626a0,unknown,,2026-01-15 11:53:56.409369+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
2ccd94a8-f6b3-45d9-93f7-7fa20a226b7f,21c4bf58-3f15-41f0-995f-6eb0e3d5bd42,754,2026-01-15 11:54:01.260697+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 391}",,,,,,
85ef02d0-3493-4909-89fc-32d4cf29ae45,98033244-5d02-4867-b4cc-57cb2071d9b3,754,2026-01-15 16:13:33.084076+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 813}",,,,,,
8a728978-2b24-47ff-920a-b552243f0e4e,98033244-5d02-4867-b4cc-57cb2071d9b3,754,2026-01-15 16:13:34.008177+09,YUA,decision,"{""anchors"": [""VERIFY_LOGIC""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,0.6,,NORMAL,APPROVE
08b5cee8-0f88-4501-a5f4-5b379e787186,unknown,,2026-01-15 16:13:35.740323+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
88762ea1-0d22-42dc-a3ae-23d135ea7130,unknown,,2026-01-15 16:13:51.401577+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
c1306876-a880-4724-b68a-62fe2a7ea6c5,98033244-5d02-4867-b4cc-57cb2071d9b3,754,2026-01-15 16:13:53.838+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 1111}",,,,,,
5dacf6f1-c590-4810-b9ba-d310ac77fa9d,b9f4acee-de7d-434e-8eaf-ddc844eb7685,754,2026-01-15 16:19:31.122333+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 60}",,,,,,
e764bef6-e659-49fe-9c46-0c46ac8387ad,b9f4acee-de7d-434e-8eaf-ddc844eb7685,754,2026-01-15 16:19:31.140311+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.27,,NORMAL,APPROVE
0351b7c3-8729-411e-bd02-c7a107684802,unknown,,2026-01-15 16:19:32.21312+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
a7b8c3de-d666-46ce-a5c7-49c244d5e19a,unknown,,2026-01-15 16:19:36.602596+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
2bf33f2a-43b9-486f-8596-9a4518188ece,b9f4acee-de7d-434e-8eaf-ddc844eb7685,754,2026-01-15 16:19:41.839302+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 566}",,,,,,
5756359e-a85c-47b2-9c2b-6adc46ec7361,24d819a3-17d4-4455-aca1-6ab424a96508,754,2026-01-15 16:20:31.321615+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 1881}",,,,,,
8269bc57-a6fb-4362-bda1-163ac6f36c87,24d819a3-17d4-4455-aca1-6ab424a96508,754,2026-01-15 16:20:32.360112+09,YUA,decision,"{""anchors"": [""IMPLEMENT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,1,,NORMAL,APPROVE
eb2016ec-c4ec-479b-87e0-7478f06d5754,unknown,,2026-01-15 16:20:32.395977+09,MODEL,generation,"{""model"": ""yua-4.1-mini"", ""stream"": false, ""maxOutputTokens"": 512}",,,,,,
4c21f9e3-9fc2-4983-a628-95567806b883,unknown,,2026-01-15 16:20:32.688286+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
7830803a-276c-40e1-8d90-d174a8152d7c,unknown,,2026-01-15 16:20:43.05334+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
04f0c80f-acc4-432c-881c-681004c0421b,24d819a3-17d4-4455-aca1-6ab424a96508,754,2026-01-15 16:20:45.226114+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 989}",,,,,,
f3259da6-e5d9-427f-bb0e-48c92cff83d7,56c79c76-43bb-41fd-ac86-6b228eb63c8f,754,2026-01-15 16:29:21.562442+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 72}",,,,,,
3dde1b0d-61c0-42b3-b48f-935052811033,56c79c76-43bb-41fd-ac86-6b228eb63c8f,754,2026-01-15 16:29:21.579312+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.49,,NORMAL,APPROVE
f8977444-16cb-42e8-9dcf-35c5a3b3b22b,unknown,,2026-01-15 16:29:22.71045+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
f7c2dfc6-1b07-4149-b1c9-f9850c2c20a8,unknown,,2026-01-15 16:29:32.622549+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
00a083dc-00d1-4933-bcb9-4ed618eacab7,56c79c76-43bb-41fd-ac86-6b228eb63c8f,754,2026-01-15 16:29:36.211238+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 1050}",,,,,,
dbcf0328-2b66-4659-aea3-841015c1b741,005ceea2-cc2f-4c54-9b30-b535becf3276,754,2026-01-15 16:32:18.706962+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 11}",,,,,,
d588de14-44f4-47cd-8e07-b8574879e124,005ceea2-cc2f-4c54-9b30-b535becf3276,754,2026-01-15 16:32:18.723832+09,YUA,decision,"{""anchors"": [], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.7,,NORMAL,APPROVE
c3e47a73-8f66-498e-851a-79e3e801e02c,unknown,,2026-01-15 16:32:19.013396+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
cb532cda-f266-427e-97c4-3cbc0d2c81cd,unknown,,2026-01-15 16:32:23.526043+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
a3fd8585-ac06-4510-88ff-c4e4791dcf4b,005ceea2-cc2f-4c54-9b30-b535becf3276,754,2026-01-15 16:32:28.726029+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 445}",,,,,,
070192e7-24a1-4ec8-acc7-7169b5a46f63,69ed5977-8b42-4d89-8a95-878e02a05b7e,754,2026-01-15 16:33:11.65751+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 70}",,,,,,
1a3b34ba-ad4d-42d9-91c2-f17a7655c9b5,69ed5977-8b42-4d89-8a95-878e02a05b7e,754,2026-01-15 16:33:11.675105+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.53,,NORMAL,APPROVE
f34fc7ac-6cba-4062-9480-4255243fba54,unknown,,2026-01-15 16:33:11.979424+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
4197f289-413b-43ba-a94a-72250f1c0242,unknown,,2026-01-15 16:33:20.732076+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
22a184c9-c307-4ab9-adfa-9d88122fa885,69ed5977-8b42-4d89-8a95-878e02a05b7e,754,2026-01-15 16:33:30.684832+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 1273}",,,,,,
7958e4f3-d336-48e4-894e-7e47bfa3a9c5,5f243452-7f1a-4424-8ea1-74acf44f4717,754,2026-01-15 16:33:58.474946+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 61}",,,,,,
e5f02881-ca19-442d-aea8-f139af0b4b86,5f243452-7f1a-4424-8ea1-74acf44f4717,754,2026-01-15 16:33:58.501363+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.51,,NORMAL,APPROVE
9e83bfe1-ff6f-4dcf-b0be-12a38ee7033d,unknown,,2026-01-15 16:33:58.797059+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
f30b2c81-cf6a-4957-aa01-1f20ca45b05b,unknown,,2026-01-15 16:34:07.280338+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
27ec6e2f-b41e-48cd-b738-a66ef0fe577a,5f243452-7f1a-4424-8ea1-74acf44f4717,754,2026-01-15 16:34:09.575833+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 902}",,,,,,
9ce9bd5c-03ce-42c9-b2f4-a7abc9f46d97,63e4cc49-fdc0-467d-a86b-3cd5ae7d4e62,754,2026-01-15 17:03:14.121878+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 2885}",,,,,,
ca3b96d6-be4d-4563-8165-9ee6b82cfc9e,63e4cc49-fdc0-467d-a86b-3cd5ae7d4e62,754,2026-01-15 17:03:14.184354+09,YUA,decision,"{""anchors"": [""EXPAND_SCOPE""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,1,,NORMAL,APPROVE
a7609804-0bdb-4c8e-8bdd-4b31522fbad4,unknown,,2026-01-15 17:03:15.294439+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
ec9bfc8f-fb35-41d6-a15f-af90af83bd0c,unknown,,2026-01-15 17:03:22.907389+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
2aade6e4-0874-4ebc-966b-7d237dee590a,63e4cc49-fdc0-467d-a86b-3cd5ae7d4e62,754,2026-01-15 17:03:24.767817+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 769}",,,,,,
7598f28a-c05a-4cb8-9d87-3cf7df6cad40,4bb6c305-c1be-4a07-88a9-f67b3213dae5,754,2026-01-15 17:03:46.801752+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 2884}",,,,,,
090bd19f-b1b8-4bb9-b4c0-df6485fc5a53,4bb6c305-c1be-4a07-88a9-f67b3213dae5,754,2026-01-15 17:03:46.858436+09,YUA,decision,"{""anchors"": [""EXPAND_SCOPE""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,1,,NORMAL,APPROVE
d6661a02-60f0-4a04-be1e-dd3ba1c4beb9,unknown,,2026-01-15 17:03:47.162194+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
7187b24f-c5ef-4475-ad8d-b963e81c6c70,unknown,,2026-01-15 17:04:03.273452+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
ec609b69-f7e6-4d3a-baf3-80e55db878c2,4bb6c305-c1be-4a07-88a9-f67b3213dae5,754,2026-01-15 17:04:13.706964+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 3997}",,,,,,
dd638653-1735-4939-9cd7-1b0f5bf94034,1e61fd88-ee44-4b84-b6a8-686ad69a3063,754,2026-01-15 17:06:20.808413+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 27}",,,,,,
66f723e4-f676-4ee4-9863-3d3e49e8ea87,1e61fd88-ee44-4b84-b6a8-686ad69a3063,754,2026-01-15 17:06:20.822827+09,YUA,decision,"{""anchors"": [""REFINE_INPUT""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.29,,NORMAL,APPROVE
f04c9a5a-6312-49cc-a54e-1289564f908c,unknown,,2026-01-15 17:06:21.376539+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
6af8fe2f-b751-4511-954c-912698c15c5d,unknown,,2026-01-15 17:06:28.447732+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
76202208-2fd0-4ab8-a5e9-42ef84675674,1e61fd88-ee44-4b84-b6a8-686ad69a3063,754,2026-01-15 17:06:34.123555+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 739}",,,,,,
d27fa2e3-2770-4e12-9d99-951dd879e75d,3f769489-2899-495d-8af1-8d4a37b4c180,754,2026-01-15 17:06:47.840917+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 4013}",,,,,,
e9d311ac-c7c1-4913-943a-a7c0e53502f8,3f769489-2899-495d-8af1-8d4a37b4c180,754,2026-01-15 17:06:48.388512+09,YUA,decision,"{""anchors"": [""EXPAND_SCOPE""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""high""}",,,1,,NORMAL,APPROVE
555e8415-0b8a-4cd9-95c8-a22942214ad3,unknown,,2026-01-15 17:06:48.41153+09,MODEL,generation,"{""model"": ""yua-4.1-mini"", ""stream"": false, ""maxOutputTokens"": 512}",,,,,,
77cdf72d-82b1-4afe-aa59-9c05e0053344,unknown,,2026-01-15 17:06:48.724282+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
09353a43-a844-464a-a853-bebc53abd0c5,unknown,,2026-01-15 17:06:54.440732+09,MODEL,generation,"{""mode"": ""NORMAL"", ""model"": ""yua-5.2-chat-latest"", ""stream"": true, ""outmode"": ""NORMAL"", ""maxOutputTokens"": 3048}",,,,,,
f112b907-8aa5-47cc-8759-8a1d5375a663,3f769489-2899-495d-8af1-8d4a37b4c180,754,2026-01-15 17:06:58.776621+09,YUA,generation,"{""mode"": ""NORMAL"", ""outmode"": ""NORMAL"", ""answerLength"": 1951}",,,,,,
9981a70e-e4f5-42f8-9794-ab5b5a2d1c58,5df089d2-51d1-4693-bdd4-16604189f84c,755,2026-01-16 13:50:30.29888+09,USER,prompt,"{""ip"": ""116.46.99.35"", ""stream"": true, ""messageLength"": 2}",,,,,,
02a72177-093e-42ed-a4f3-25f6b49cffd5,5df089d2-51d1-4693-bdd4-16604189f84c,755,2026-01-16 13:50:30.428561+09,YUA,decision,"{""anchors"": [""EXPAND_SCOPE"", ""NEXT_STEP""], ""turnIntent"": ""QUESTION"", ""cognitiveLoad"": ""low""}",,,0.23,,FAST,APPROVE
